kernel,dtype,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd
SAXPY,float32,3072,2.8333333333333335e-06,5.7735026918962756e-08,1.3666666666666666e-06,5.773502691896251e-08,2.073170731707317,2.168470588235294,4.495609756097561
SAXPY,float32,84992,0.00010243333333333333,6.747098141670492e-06,9.23e-05,1.4120552397126675e-05,1.1097869266883351,1.6594598112593557,1.841646803900325
SAXPY,float32,1654784,0.0021813,0.0001798673122054143,0.0017366666666666667,4.911825865534458e-05,1.2560268714011518,1.5172456791821392,1.9057013435700576
SAXPY,float32,15728640,0.019663533333333334,0.0007372417875658784,0.019743,0.0002881110376226514,0.9959749447061406,1.5997775916840988,1.5933383984196932
SAXPY,float64,1536,1.2666666666666667e-06,5.7735026918962637e-08,2.1e-06,2.1656407827707716e-06,0.6031746031746033,2.4252631578947366,1.4628571428571429
SAXPY,float64,42496,5.29e-05,1.6591865476793135e-05,2.96e-05,9.035485598461214e-06,1.787162162162162,1.6066540642722118,2.8713513513513513
SAXPY,float64,827392,0.0009925,0.00010310984434087755,0.0007969663333333333,0.000181349097324286,1.2453474613524034,1.6672886649874057,2.076353706283703
SAXPY,float64,7864320,0.010253766666666667,0.000339529885773452,0.0093884,0.00021449757574387674,1.0921740303637113,1.5339377724608516,1.6753269992757018
Dot,float32,3072,5.2e-06,0.0,1.3333333333333334e-06,5.773502691896251e-08,3.9,1.1815384615384616,4.608
Dot,float32,84992,0.00016053333333333332,1.4260551648983764e-05,5.463333333333333e-05,1.2700524923534983e-05,2.9383770591824283,1.058870431893688,3.111360585723002
Dot,float32,1654784,0.0031179999999999997,5.229311618176908e-05,0.0017636,0.00010668997141249961,1.7679745974143795,1.0614393842206544,1.8765978679972783
Dot,float32,15728640,0.029384733333333333,0.00016095519045166844,0.0177679,0.0003698743435276377,1.653810148263629,1.0705314097343066,1.7704557094535651
Dot,float64,1536,2.6333333333333332e-06,5.773502691896251e-08,7e-07,0.0,3.761904761904762,1.1665822784810127,4.388571428571429
Dot,float64,42496,7.52e-05,7.016409338115902e-06,1.7866666666666666e-05,1.15470053837926e-07,4.208955223880597,1.1302127659574468,4.757014925373134
Dot,float64,827392,0.0015275333333333333,8.615720128540228e-05,0.0006155333333333333,0.00022404297206860414,2.481641936532005,1.083304674202418,2.688374309541861
Dot,float64,7864320,0.014668233333333334,8.548276629434337e-05,0.008717,0.00023341972924326648,1.6827157661274903,1.0722927323672244,1.804363886658254
ElemMul,float32,2048,1.9e-06,0.0,1.1333333333333334e-06,5.773502691896251e-08,1.676470588235294,1.0778947368421052,1.8070588235294116
ElemMul,float32,56661,7.75e-05,3.955199110032263e-05,4.72e-05,8.944830909525346e-06,1.6419491525423728,0.7311096774193548,1.2004449152542374
ElemMul,float32,1103189,0.0017486333333333332,0.00024366214998093843,0.0016875,8.951273652391603e-05,1.0362271604938271,0.6308864065270021,0.6537416296296297
ElemMul,float32,10485760,0.017157233333333334,0.000130410518491926,0.018030366666666665,0.00044771982682625635,0.9515742885613346,0.6111568104414659,0.5815611070952523
ElemMul,float64,1024,1.1e-06,0.0,7.333333333333333e-07,1.1547005383792515e-07,1.5,0.9309090909090909,1.3963636363636363
ElemMul,float64,28330,1.83e-05,1.0000000000000074e-07,1.6133333333333334e-05,5.687119950672162e-06,1.134297520661157,1.548087431693989,1.7559917355371901
ElemMul,float64,551594,0.0007471,4.4536389615683956e-05,0.0007959,0.00012546676850863736,0.9386857645432843,0.7383134787846339,0.693044352305566
ElemMul,float64,5242880,0.0087118,0.00011467096406675938,0.008784233333333334,0.00014835168800297904,0.9917541656073192,0.6018136320852178,0.5968511765397853
Stencil,float32,3072,4.066666666666666e-06,5.773502691896251e-08,2.7e-06,1.7320508075688778e-07,1.5061728395061726,2.2662295081967216,3.4133333333333336
Stencil,float32,84992,0.00011003333333333333,2.7313427711170437e-05,6.13e-05,4.7000000000000024e-06,1.7949972811310495,2.3172614359285064,4.159477977161501
Stencil,float32,1654784,0.0023569666666666666,0.00017937576016099094,0.0019259,0.00027675597554524447,1.2238260899665958,2.106246163854672,2.5776790072174047
Stencil,float32,15728640,0.022687766666666668,0.00025428606594411144,0.01911653333333333,0.00028318937715481735,1.1868138574636966,2.079795719572809,2.46833038068269
Stencil,float64,1536,1.6333333333333333e-06,5.7735026918962637e-08,5.333333333333333e-07,5.773502691896258e-08,3.0625,2.8212244897959184,8.639999999999999
Stencil,float64,42496,4.463333333333333e-05,1.5275252316519467e-07,2.1466666666666666e-05,9.865765724632497e-07,2.079192546583851,2.8563405526512327,5.93888198757764
Stencil,float64,827392,0.0011347,0.00020522546138332829,0.0007993333333333333,5.071659820348102e-05,1.419557964970809,2.1875174054816253,3.1053077564637195
Stencil,float64,7864320,0.011469266666666667,0.00032505560037220305,0.009581433333333333,0.0005769334132578328,1.1970303677598688,2.0570591551915554,2.4623622770427525
