kernel,dtype,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd
SAXPY,float32,3072,2.8333333333333335e-06,5.7735026918962756e-08,1.3666666666666666e-06,5.773502691896251e-08,2.073170731707317,2.168470588235294,4.495609756097561
SAXPY,float32,84992,0.00016203333333333333,5.9246293836267365e-05,0.00010383333333333333,2.342911294379992e-05,1.5605136436597111,1.0490680929849825,1.6370850722311396
SAXPY,float32,1654784,0.0020669666666666667,0.0002506530736562658,0.0017686333333333333,4.385548236347799e-05,1.1686801485139184,1.6011714428550694,1.8712572796321076
SAXPY,float32,15728640,0.020475,0.00068692102166115,0.020232166666666666,0.0003012891357704975,1.012002339508868,1.5363750915750916,1.554815187037144
SAXPY,float64,1536,1.0666666666666667e-06,5.7735026918962637e-08,1e-06,0.0,1.0666666666666667,2.88,3.072
SAXPY,float64,42496,4.9166666666666665e-05,7.960736984308258e-06,2.6166666666666668e-05,1.0576073625563193e-05,1.878980891719745,1.7286508474576272,3.248101910828025
SAXPY,float64,827392,0.0008600333333333333,3.622959195648405e-05,0.0006762333333333333,6.111091010067954e-05,1.271799674668507,1.9240928646176505,2.447060679252724
SAXPY,float64,7864320,0.009957033333333334,0.0004530814643453571,0.0097213,0.00025814869745942917,1.0242491573486399,1.5796512348055478,1.617956446154321
Dot,float32,3072,5.166666666666667e-06,5.773502691896251e-08,4.933333333333333e-06,6.293117934166921e-06,1.0472972972972974,1.1891612903225806,1.2454054054054056
Dot,float32,84992,0.0001528,1.1951568934662939e-05,4.8366666666666666e-05,4.309679029038396e-06,3.159200551343901,1.1124607329842933,3.5144865609924194
Dot,float32,1654784,0.003038533333333333,7.123042421138128e-05,0.0017396333333333334,1.653067855029949e-05,1.746651593247619,1.0891991750405898,1.9024514744486387
Dot,float32,15728640,0.02908816666666667,0.0004466649900466054,0.0173496,0.0011304742190779943,1.676590046264275,1.0814459488107993,1.813141513349011
Dot,float64,1536,2.6e-06,0.0,7e-07,0.0,3.7142857142857144,1.1815384615384616,4.388571428571429
Dot,float64,42496,7.193333333333334e-05,1.1846237095944627e-06,1.81e-05,5.196152422706641e-07,3.974217311233886,1.1815384615384614,4.695690607734806
Dot,float64,827392,0.0014992666666666667,5.619015334854818e-06,0.0005081666666666666,3.1182259913824972e-06,2.9503443752049856,1.1037289341455823,3.2563804526074125
Dot,float64,7864320,0.0145982,0.00020941062532736976,0.0089414,0.0003052886994305557,1.6326526047375132,1.0774369442808018,1.7590802335204778
ElemMul,float32,2048,1.9e-06,0.0,1.1333333333333334e-06,5.773502691896251e-08,1.676470588235294,1.0778947368421052,1.8070588235294116
ElemMul,float32,56661,5.16e-05,9.656603957913987e-06,5.093333333333333e-05,1.778941632919229e-05,1.0130890052356023,1.0980813953488373,1.1124541884816754
ElemMul,float32,1103189,0.0017039333333333333,6.056453857938107e-05,0.0016092666666666666,0.0001215210407021489,1.0588259662786363,0.6474367150514496,0.6855228054186172
ElemMul,float32,10485760,0.017793366666666664,0.0005818602266294998,0.0183365,0.00047906593491919136,0.9703796616947982,0.5893072512041004,0.5718517710577264
ElemMul,float64,1024,1e-06,1.0000000000000005e-07,5.333333333333333e-07,5.773502691896258e-08,1.8749999999999998,1.024,1.92
ElemMul,float64,28330,2.2166666666666666e-05,5.746593193652507e-06,1.2866666666666667e-05,2.0816659994661317e-07,1.7227979274611398,1.278045112781955,2.2018134715025908
ElemMul,float64,551594,0.0007825,0.00014950080267343046,0.0006702,7.253943754951506e-05,1.1675619218143838,0.7049124600638977,0.8230289465831095
ElemMul,float64,5242880,0.008397333333333333,0.0002448704215158161,0.008679666666666667,0.00031655543485041175,0.9674718691193978,0.6243505874880914,0.6040416298628979
Stencil,float32,3072,4e-06,0.0,2.6e-06,0.0,1.5384615384615383,2.304,3.5446153846153847
Stencil,float32,84992,0.00010693333333333333,2.091036425635224e-05,6.686666666666666e-05,8.904680417248747e-06,1.5992023928215355,2.3844389027431423,3.81320039880359
Stencil,float32,1654784,0.0024237,0.00016310744924742096,0.0019272,0.0001033563253990775,1.2576276463262765,2.048253496719891,2.5759402241594023
Stencil,float32,15728640,0.022829233333333334,0.0005296159961078722,0.0186812,0.0004848190074656738,1.2220431949410817,2.0669077805211735,2.525850587756675
Stencil,float64,1536,1.7e-06,0.0,5.333333333333333e-07,5.773502691896258e-08,3.1875,2.7105882352941175,8.639999999999999
Stencil,float64,42496,7.373333333333333e-05,2.8621029564523592e-05,2.26e-05,1.7691806012954133e-06,3.2625368731563418,1.7290415913200725,5.641061946902655
Stencil,float64,827392,0.0010449333333333332,5.733640495647887e-05,0.0007685666666666667,7.833577301165371e-05,1.3595871102051436,2.3754395814725022,3.2296170360411156
Stencil,float64,7864320,0.0115638,0.00015021145096163606,0.009488366666666666,0.00018819915869454224,1.2187345205181084,2.0402428267524515,2.4865143632026587
