pattern,op,label,N,stride,gather_mode,frac,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,useful_elems
strided,SAXPY,unit-stride,32000000,1,0,1.0,0.0258768,0.0015386423398567964,0.020594366666666666,0.0016916364158214767,1.256498945504515,32000000
strided,Dot,unit-stride,32000000,1,0,1.0,0.05749323333333333,0.00023746160391383906,0.0174017,0.00036867794889306735,3.30388601879893,32000000
strided,ElemMul,unit-stride,32000000,1,0,1.0,0.030745,0.003370033666003948,0.031175433333333332,0.00475394762732335,0.9861931884400431,32000000
strided,Stencil,unit-stride,32000000,1,0,1.0,0.04295296666666667,0.0028738943236196668,0.0207735,0.0034607072413019857,2.067680779197856,32000000
strided,SAXPY,stride-2,32000000,2,0,1.0,0.023292133333333333,0.006881566321945414,0.0203903,0.00027779613028262363,1.1423144011286412,16000000
strided,Dot,stride-2,32000000,2,0,1.0,0.029362533333333333,0.00020220349485934448,0.029867533333333335,0.0001862408744968012,0.983092008490825,16000000
strided,ElemMul,stride-2,32000000,2,0,1.0,0.0256097,0.000958287738625512,0.026271466666666667,0.0012585501751353936,0.9748104407316429,16000000
strided,Stencil,stride-2,32000000,2,0,1.0,0.0227679,0.0013663425156233689,0.0212104,4.218210521062215e-05,1.073430958397767,16000000
strided,SAXPY,stride-8,32000000,8,0,1.0,0.0203557,0.001398543181314041,0.0215696,0.0011173601523233245,0.9437217194570136,4000000
strided,Dot,stride-8,32000000,8,0,1.0,0.018865633333333333,0.0003206579226112042,0.019681166666666666,0.0005254833996743688,0.9585627545792509,4000000
strided,ElemMul,stride-8,32000000,8,0,1.0,0.027457099999999998,0.0012268220694134897,0.028436633333333333,0.001205816040419654,0.96555382200659,4000000
strided,Stencil,stride-8,32000000,8,0,1.0,0.0197431,0.0005758753250487472,0.019376033333333334,0.00029075488531292556,1.0189443659779005,4000000
strided,SAXPY,stride-32,32000000,32,0,1.0,0.022756966666666666,0.00023012692874440727,0.021992166666666667,0.00029284255724421954,1.0347760187339432,1000000
strided,Dot,stride-32,32000000,32,0,1.0,0.019972033333333333,0.0002157963932352289,0.0210296,0.0008948319004148205,0.9497105666932958,1000000
strided,ElemMul,stride-32,32000000,32,0,1.0,0.033073533333333335,0.0013242280631875043,0.03294743333333333,0.0006389785937989879,1.0038273087534386,1000000
strided,Stencil,stride-32,32000000,32,0,1.0,0.022219666666666665,0.00039048760970526595,0.022245666666666667,0.0007909271921822732,0.9988312330491331,1000000
gather:gather-blocked,SAXPY,gather-blocked,32000000,1,1,0.5,0.0203335,0.0005154668854543412,0.021175066666666666,0.00016883487001604004,0.9602567170193876,16000000
gather:gather-blocked,Dot,gather-blocked,32000000,1,1,0.5,0.020200766666666665,0.0008079542086859473,0.0210832,0.0005049848710605101,0.9581451898510029,16000000
gather:gather-blocked,ElemMul,gather-blocked,32000000,1,1,0.5,0.027453833333333334,0.0007636258267851696,0.029888833333333333,0.0004351320412625727,0.9185314470844741,16000000
gather:gather-blocked,Stencil,gather-blocked,32000000,1,1,0.5,0.021137633333333333,0.001377813900108913,0.0218884,0.00038649720568200726,0.9657002491426204,16000000
gather:gather-random,SAXPY,gather-random,32000000,1,2,0.5,1.0394266666666667,0.0032164784055444314,1.0409566666666668,0.006170975071520938,0.9985301981830815,16000000
gather:gather-random,Dot,gather-random,32000000,1,2,0.5,0.9836486666666667,0.00760688900493055,0.977828,0.005376303934860851,1.0059526487957664,16000000
gather:gather-random,ElemMul,gather-random,32000000,1,2,0.5,1.8388266666666666,0.027379156914217325,1.8637833333333333,0.015405143080586228,0.9866096738712475,16000000
gather:gather-random,Stencil,gather-random,32000000,1,2,0.5,1.0943866666666666,0.011620367177216694,1.09635,0.012775081213049105,0.9982092093461638,16000000
