kernel,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,cpe_scalar,cpe_simd,validated,rtol,atol,abs_err,rel_err
Dot,14765549,2.811463e-02,3.963484e-04,1.650603e-02,4.314957e-04,1.703,1.050,1.789,4.753,2.790,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,19276597,3.786817e-02,1.276887e-03,2.171697e-02,7.915622e-04,1.744,1.018,1.775,4.903,2.812,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,25165823,4.900933e-02,2.284588e-03,2.939983e-02,3.063951e-03,1.667,1.027,1.712,4.861,2.916,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,512,5.333333e-07,5.773503e-08,2.666667e-07,5.773503e-08,2.000,0.960,1.920,2.600,1.300,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,668,6.666667e-07,5.773503e-08,7.000000e-07,1.732051e-07,0.952,1.002,0.954,2.491,2.616,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,872,7.000000e-07,0.000000e+00,4.000000e-07,1.000000e-07,1.750,1.246,2.180,2.004,1.145,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,1139,1.000000e-06,1.000000e-07,6.000000e-07,2.645751e-07,1.667,1.139,1.898,2.191,1.315,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,1487,1.100000e-06,1.000000e-07,6.333333e-07,1.154701e-07,1.737,1.352,2.348,1.846,1.063,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,1941,1.466667e-06,2.081666e-07,6.000000e-07,0.000000e+00,2.444,1.323,3.235,1.886,0.772,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,2534,2.000000e-06,3.605551e-07,1.133333e-06,1.527525e-07,1.765,1.267,2.236,1.970,1.116,1,1e-05,1e-07,0.000e+00,0.000e+00
