kernel,N,runtime_scalar,runtime_simd,gflops_scalar,gflops_simd,AI
SAXPY,32000000,0.048367933333333335,0.04730076666666667,1.323190708995905,1.3530436081726653,0.16666666666666666
Dot,32000000,0.05937646666666667,0.0362406,1.0778681116087518,1.765975177011418,0.25
Stencil,32000000,0.050873999999999996,0.05060523333333333,1.8870149781813896,1.897036999467117,0.1875
