rep,huge,pattern,pages,passes,updates,runtime_ms,gflops,dtlb_load_misses,dtlb_store_misses,dtlb_walks_load,dtlb_walks_store,misses_per_ku,smaps_kb_before,smaps_kb_after,thp_effective
5,on,random,131072,381,49938432,2873.7800,0.0348,,,,,0.000000,1046528,1046528,0
5,on,random,512,97656,49999872,682.6000,0.1465,,,,,0.000000,2048,2048,0
5,on,random,16384,3051,49987584,2042.3100,0.0490,,,,,0.000000,129024,129024,0
5,off,random,1024,48828,49999872,691.6490,0.1446,,,,,0.000000,6144,6144,0
5,off,random,128,390625,50000000,501.1750,0.1995,,,,,0.000000,0,0,0
5,on,random,128,390625,50000000,494.1230,0.2024,,,,,0.000000,0,0,0
5,off,random,64,781250,50000000,498.5000,0.2006,,,,,0.000000,0,0,0
5,on,random,8192,6103,49995776,1665.1500,0.0600,,,,,0.000000,63488,63488,0
5,off,random,16384,3051,49987584,1805.2800,0.0554,,,,,0.000000,129024,129024,0
5,on,random,64,781250,50000000,464.2700,0.2154,,,,,0.000000,0,0,0
5,off,random,65536,762,49938432,2239.7300,0.0446,,,,,0.000000,522240,522240,0
5,off,random,32768,1525,49971200,2047.2900,0.0488,,,,,0.000000,260096,260096,0
5,off,random,131072,381,49938432,2843.5400,0.0351,,,,,0.000000,1046528,1046528,0
5,off,random,8192,6103,49995776,1676.2000,0.0597,,,,,0.000000,63488,63488,0
5,off,random,4096,12207,49999872,1736.3800,0.0576,,,,,0.000000,30720,30720,0
5,off,random,512,97656,49999872,663.7300,0.1507,,,,,0.000000,2048,2048,0
5,on,random,2048,24414,49999872,1243.0500,0.0804,,,,,0.000000,14336,14336,0
5,on,random,65536,762,49938432,2231.8000,0.0448,,,,,0.000000,522240,522240,0
5,off,random,2048,24414,49999872,1207.1300,0.0828,,,,,0.000000,14336,14336,0
5,on,random,256,195312,49999872,609.9320,0.1640,,,,,0.000000,0,0,0
