repetition,level,latency_ns
1,DRAM,133.0
1,L2,7.6
1,L1,2.1
1,L3,37.0
2,L2,7.5
2,DRAM,129.3
2,L1,2.2
2,L3,37.7
3,L1,2.1
3,L2,7.5
3,L3,36.1
3,DRAM,130.2
