rep,pattern,stride,runtime_ms,cache_refs,cache_misses,miss_rate
1,random,,1376.4500,121237470,84773716,0.699237
1,stride,16,11.3254,5935674,3706030,0.624365
1,stride,1,16.0988,5763024,2093412,0.363249
1,stride,8,11.1547,5768116,3199912,0.554759
1,stride,2,11.1124,5605366,2321369,0.414133
1,stride,32,11.4351,4173190,2726519,0.653342
1,stride,4,10.1905,5685801,2666077,0.468901
2,stride,8,11.0248,5738452,3147221,0.548444
2,random,,1350.7700,121764031,86137278,0.707412
2,stride,16,12.0707,5893224,3682649,0.624895
2,stride,2,10.9268,5642472,2370131,0.420052
2,stride,32,11.9800,4107461,2670546,0.650170
2,stride,1,34.4839,5731863,2162155,0.377217
2,stride,4,10.1291,5662598,2672237,0.471910
3,random,,1354.7900,120089408,81992064,0.682758
3,stride,8,10.2295,5759059,3155171,0.547862
3,stride,32,11.7925,4164032,2722866,0.653901
3,stride,4,9.8260,5725910,2809915,0.490737
3,stride,16,11.0786,5958199,3708165,0.622363
3,stride,2,11.0421,5735785,2377876,0.414569
3,stride,1,16.2026,5744250,2111733,0.367626
4,stride,16,11.3072,5949454,3708037,0.623257
4,random,,1338.2900,119540484,82959995,0.693991
4,stride,2,12.7935,5677668,2339196,0.411999
4,stride,32,10.9511,4178662,2726687,0.652526
4,stride,4,10.0528,5646539,2676498,0.474007
4,stride,1,16.5281,5833518,2079889,0.356541
4,stride,8,10.7331,5748115,3133897,0.545204
5,stride,4,9.7301,5712017,2801560,0.490468
5,stride,1,16.0188,5754406,2072466,0.360153
5,stride,16,10.7936,5963425,3701532,0.620706
5,stride,2,11.3328,5624782,2282137,0.405729
5,random,,1353.9700,119216054,81896986,0.686963
5,stride,8,10.1255,5732338,3147078,0.549004
5,stride,32,10.8687,4161155,2703729,0.649754
