pattern,stride,runtime_mean_ms,runtime_std_ms,missrate_mean,missrate_std
stride,1,19.8664,8.1737,0.364957,0.007973
stride,2,11.4415,0.7701,0.413296,0.005170
stride,4,9.9857,0.1986,0.479204,0.010562
stride,8,10.6535,0.4621,0.549055,0.003506
stride,16,11.3151,0.4741,0.623117,0.001668
stride,32,11.4055,0.4938,0.651939,0.001875
random,random,1354.8540,13.7679,0.694072,0.009787
