rep,intensity,latency_ns,bandwidth_MBps
1,very_high,233.39,44100.30
1,very_low,54.39,8963.40
1,low,56.44,16256.10
1,high,184.03,43796.20
1,medium,70.84,29192.60
2,medium,80.29,27144.00
2,very_high,304.18,33760.90
2,high,273.68,32224.50
2,low,57.17,16160.40
2,very_low,56.44,8902.30
3,medium,78.79,27220.00
3,high,300.66,26469.40
3,low,83.98,13878.20
3,very_low,53.66,9130.00
3,very_high,272.97,37727.60
4,high,266.92,33149.70
4,very_low,55.71,8970.40
4,low,58.88,16279.80
4,very_high,233.82,43955.50
4,medium,71.42,29229.80
5,high,210.89,38830.80
5,very_low,65.19,8300.00
5,low,55.85,16153.20
5,medium,76.23,28233.40
5,very_high,305.93,29823.70
