rep,size_bytes,size_label,latency_ns
1,268435456,256.0 MiB,130.30
1,4194304,4.0 MiB,36.80
1,134217728,128.0 MiB,127.30
1,1048576,1.0 MiB,8.60
1,32768,32.0 KiB,2.10
1,67108864,64.0 MiB,124.70
1,262144,256.0 KiB,6.00
1,33554432,32.0 MiB,95.70
1,8388608,8.0 MiB,35.20
1,8192,8.0 KiB,2.10
1,20971520,20.0 MiB,68.50
