blocksize,pattern,avg_mean_us,avg_std_us,p95_mean_us,p95_std_us,p99_mean_us,p99_std_us
128k,read,917.5835758796667,25.38829927211278,1198.7626666666665,62.02882289172784,1455.4453333333333,96.00147909971665
128k,write,944.5612675216667,8.661702262981885,1193.3013333333333,9.459306810402838,1504.5973333333334,9.459306810402838
4k,randread,158.35289202166666,2.2692159536042147,226.304,5.418498685060286,298.32533333333333,6.256743348846379
4k,randwrite,162.41526816266668,1.280814059023177,234.496,2.048000000000002,311.97866666666664,2.3648267026007095
