pattern,stride,runtime_mean_ms,runtime_std_ms,missrate_mean,missrate_std
stride,1,16.1963,0.1365,0.345503,0.011928
stride,2,11.6438,1.1152,0.425925,0.019656
stride,4,10.1828,0.5286,0.486002,0.011509
stride,8,10.3933,0.7338,0.548909,0.005961
stride,16,11.2869,0.2772,0.623476,0.001352
stride,32,10.8625,0.1008,0.655895,0.010798
stride,64,5.6982,0.0497,0.540932,0.003421
stride,128,3.0172,0.0745,0.439026,0.008639
stride,256,1.5625,0.1258,0.422746,0.060342
stride,512,0.7523,0.0409,0.333062,0.017261
stride,1024,0.4932,0.0215,0.335584,0.034410
stride,2048,0.2326,0.0021,0.301507,0.000229
stride,4096,0.1366,0.0057,0.298030,0.005919
random,random,1355.9250,20.1030,0.691005,0.001666
