rep,pattern,stride,runtime_ms,cache_refs,cache_misses,miss_rate
1,stride,128,3.0699,2517103,1120450,0.445135
1,stride,8,10.9122,5648222,3076555,0.544694
1,stride,64,5.7334,3071750,1669038,0.543351
1,stride,2,12.4324,5765943,2535999,0.439824
1,stride,2048,0.2340,2001974,603285,0.301345
1,random,,1341.7100,119454740,82403126,0.689827
1,stride,1,16.0998,5653977,2001154,0.353937
1,stride,16,11.4829,5934900,3705945,0.624433
1,stride,32,10.9338,4136310,2681403,0.648260
1,stride,4096,0.1325,1970336,595467,0.302216
1,stride,4,9.8090,5717395,2825192,0.494140
1,stride,1024,0.4780,2068770,744582,0.359915
1,stride,256,1.6514,2313874,1076909,0.465414
1,stride,512,0.7233,2046089,656502,0.320857
2,stride,4096,0.1406,1989947,584736,0.293845
2,stride,32,10.7913,4191019,2780867,0.663530
2,stride,512,0.7812,2102570,725950,0.345268
2,stride,2,10.8552,5679351,2340037,0.412025
2,stride,128,2.9645,2491964,1078814,0.432917
2,stride,2048,0.2311,2003906,604516,0.301669
2,stride,64,5.6631,3079280,1658230,0.538512
2,random,,1370.1400,119933748,83016180,0.692184
2,stride,4,10.5566,5609047,2680362,0.477864
2,stride,1024,0.5084,2029833,631791,0.311253
2,stride,8,9.8744,5880245,3252505,0.553124
2,stride,16,11.0909,5933326,3693616,0.622520
2,stride,256,1.4735,2265032,860887,0.380077
2,stride,1,16.2928,5556018,1872758,0.337068
