stride,runtime_mean_ms,runtime_std_ms,missrate_mean,missrate_std
1,298.7430,0.0000,0.291017,0.000000
3,314.2520,0.0000,0.383019,0.000000
5,310.9560,0.0000,0.406030,0.000000
9,352.4300,0.0000,0.587906,0.000000
17,726.0420,0.0000,0.731986,0.000000
31,1005.2000,0.0000,0.839686,0.000000
