rep,pattern,stride,latency_ns,bandwidth_MBps
1,random,64B,61.10,42774.70
1,random,1024B,151.40,12949.50
1,random,256B,151.90,22273.60
1,sequential,64B,58.30,42262.10
1,sequential,1024B,150.10,12343.50
1,sequential,256B,151.40,22815.70
2,random,256B,148.60,22482.20
2,sequential,1024B,152.30,12487.80
2,sequential,64B,60.40,42462.30
2,random,64B,60.70,42332.40
2,sequential,256B,150.20,21771.50
2,random,1024B,153.80,11954.30
3,random,256B,150.40,22355.90
3,random,1024B,156.20,12552.80
3,sequential,1024B,155.00,12617.20
3,sequential,256B,149.60,23140.20
3,random,64B,61.60,41664.80
3,sequential,64B,60.80,42966.60
4,sequential,1024B,153.70,13206.20
4,random,64B,60.50,42820.70
4,sequential,64B,61.00,42446.90
4,random,1024B,153.00,11923.10
4,random,256B,149.30,22640.80
4,sequential,256B,150.60,22153.20
5,sequential,64B,61.20,42927.90
5,random,256B,149.80,21761.70
5,random,1024B,152.80,11895.90
5,random,64B,58.50,43228.50
5,sequential,1024B,153.80,12861.20
5,sequential,256B,148.70,22192.70
