pattern,stride,lat_mean_ns,lat_std_ns,bw_mean_MBps,bw_std_MBps
sequential,64B,60.339999999999996,1.1781341180018527,42613.16,315.28770670611294
sequential,256B,150.1,1.0198039027185624,22414.66,551.9338121550447
sequential,1024B,152.98,1.872698587600259,12703.18,339.5402214760429
random,64B,60.480000000000004,1.1840608092492553,42564.22,594.5688749001228
random,256B,150.0,1.2509996003196826,22302.84,332.74983546201764
random,1024B,153.44,1.768615277554725,12255.119999999999,474.4854918751468
