stride,runtime_mean_ms,runtime_std_ms,missrate_mean,missrate_std
1,297.7640,0.0000,0.318651,0.000000
3,326.9750,0.0000,0.431162,0.000000
5,339.5830,0.0000,0.520886,0.000000
9,363.8430,0.0000,0.551784,0.000000
17,977.3090,0.0000,0.800666,0.000000
31,1053.6900,0.0000,0.869270,0.000000
