rep,stride,iters,runtime_ms,cache_refs,cache_misses,miss_rate
1,17,4,977.3090,171851521,137595725,0.800666
1,1,4,297.7640,11893575,3789894,0.318651
1,3,4,326.9750,32089452,13835747,0.431162
1,5,4,339.5830,50647810,26381733,0.520886
1,9,4,363.8430,85869278,47381314,0.551784
1,31,4,1053.6900,218780874,190179694,0.869270
