repetition,level,latency_ns
1,L1,2.2
1,L2,7.8
1,L3,76.0
1,DRAM,138.9
2,L1,2.2
2,L2,7.5
2,L3,43.5
2,DRAM,132.3
3,L3,47.4
3,L1,2.1
3,L2,7.7
3,DRAM,132.8
