pattern,stride,runtime_mean_ms,runtime_std_ms,missrate_mean,missrate_std
stride,1,298.8930,0.0000,0.292705,0.000000
stride,3,303.1980,0.0000,0.296689,0.000000
stride,5,310.0330,0.0000,0.418135,0.000000
stride,9,371.8700,0.0000,0.602430,0.000000
stride,17,709.4130,0.0000,0.701892,0.000000
stride,31,990.9760,0.0000,0.819800,0.000000
random,random,3640.7700,0.0000,0.753808,0.000000
